"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R3,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10k";;;
2;"U3";"TO-220-3_Horizontal_TabDown";1;"N7805";;;
3;"F1";"Fuseholder_Clip-5x20mm_Littelfuse_520_Inline_P20.50x5.80mm_D1.30mm_Horizontal";1;"Fuse";;;
4;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
5;"D3,D5,D2,D4";"LED_D3.0mm";4;"LED";;;
6;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"20k";;;
7;"C3,C6,C4";"CP_Radial_D6.3mm_P2.50mm";3;"22uF";;;
8;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4k7";;;
9;"L1,L2";"L_Toroid_Vertical_L10.0mm_W5.0mm_P5.08mm";2;"10uH";;;
10;"U1,U2";"TO-220-3_Horizontal_TabDown";2;"N7812";;;
11;"C2,C1,C5";"CP_Radial_D6.3mm_P2.50mm";3;"10uF";;;
12;"J2,J3";"Eurorack_Power_IDC-Header_2x08_P2.54mm_Vertical";2;"Conn_02x08_Odd_Even";;;
13;"D1";"D_DO-41_SOD81_P10.16mm_Horizontal";1;"1N5818";;;
